SampleID,ConeAir_puff_01_mL,ConeAir_puff_02_mL,ConeAir_puff_03_mL,ConeAir_puff_04_mL,ConeAir_puff_05_mL,ConeAir_puff_06_mL,ConeAir_puff_07_mL,ConeAir_puff_08_mL,ConeAir_puff_09_mL,ConeAir_puff_10_mL,PaperAir_puff_01_mL,PaperAir_puff_02_mL,PaperAir_puff_03_mL,PaperAir_puff_04_mL,PaperAir_puff_05_mL,PaperAir_puff_06_mL,PaperAir_puff_07_mL,PaperAir_puff_08_mL,PaperAir_puff_09_mL,PaperAir_puff_10_mL,VentAir_puff_01_mL,VentAir_puff_02_mL,VentAir_puff_03_mL,VentAir_puff_04_mL,VentAir_puff_05_mL,VentAir_puff_06_mL,VentAir_puff_07_mL,VentAir_puff_08_mL,VentAir_puff_09_mL,VentAir_puff_10_mL,Circumference_cm,FilterBeforeVent_cm,FilterAfterVent_cm,TobaccoRodResistance_Pa_cm,FilterResistance_Pa_cm,NumPuffs,Tar_mg_per_cigarette,CO_mg_per_cigarette,Phenol_ug_per_cigarette
TRAIN-011,8.36500100236139,9.18135687626844,10.0770063601938,11.0590492776727,12.1348874750452,13.3120708551329,14.598054947866,0.159998386676084,0,0,7.22184801305525,6.380822697233,5.502316856913,4.58201502254361,3.61579463132246,2.60006073389236,1.53223589107007,0.00411458988426408,0,0,19.7332113872764,19.6535556175006,19.5555249788556,19.4346786064521,19.2854575011985,19.100900567717,18.8722948437494,0.185887509178444,0,0,1.7,1.75,1.25,227.3808,350,7.01,7.92308022967455,4.43,13.2102989867998
TRAIN-012,8.62014410887199,9.43750597134288,10.3314967684644,11.3085555942358,12.3752917848345,13.5383104807397,14.8039508891073,0.32355819102382,0,0,7.0469263609679,6.2178206726201,5.35343389807034,4.450157259364,3.50471091904738,2.51448803548594,1.47804428798711,0.00791556771795203,0,0,19.6316690516838,19.5456494872555,19.4404320508687,19.3115449138786,19.1534387854604,18.9592290904893,18.7203843960527,0.368527132521399,0,0,1.7,1.75,1.25,212.8631,350,7.02,7.85432028180089,5.085,13.5232874193968
TRAIN-013,7.63970486552144,8.5862716893769,9.64998065827956,10.8442734040087,12.1833086910138,13.6814387118583,8.59727875682047,0,0,0,7.70222886441648,6.67851664434801,5.59436277355056,4.43964975356378,3.20410542357369,1.87816918763656,0.254488966021736,0,0,0,20.0445895192902,19.9789666956363,19.8935702902403,19.7821261821225,19.6362843420108,19.4449349684034,10.7482665279426,0,0,0,1.7,1.75,1.25,211.7107,383.333333333333,6.56,7.62877188421797,5.097,13.5236203125109
TRAIN-014,6.76378342522215,7.85390704019867,9.12102357965381,10.5925728019789,12.2984981727283,13.6989818316396,0,0,0,0,7.80471328396099,6.58317163078835,5.26397682419114,3.82358258291517,2.23643678579347,0.458204020324005,0,0,0,0,20.864839637845,20.8107989673232,20.7346432572562,20.6267387255502,20.4730296036357,19.442882683156,0,0,0,0,1.7,1.75,1.25,240.0531,466.666666666667,5.96,6.34564337383617,4.157,10.2557028624885
TRAIN-015,6.9713559640807,7.73605253912799,8.58508522609054,9.52738351529819,10.5725141767737,11.7305386273263,13.0117439461907,0.577047354989139,0,0,7.62588556953199,6.77408766990237,5.87768124929885,4.92935918662706,3.9213193176142,2.84551666684505,1.6941032649323,0.0184058234372824,0,0,20.8086804081833,20.7655515242575,20.7109583771937,20.641684875957,20.5535671147151,20.4412084445526,20.297614805762,0.804549453010637,0,0,1.7,1.75,1.25,225.9519,433.333333333333,7.04,7.24869866487644,4.57,14.2189357540954
TRAIN-016,5.79326422058098,6.65988897925548,7.65928525602855,8.8122728418382,10.1427115272763,11.6775823057984,3.36166938327535,0,0,0,8.54059707746579,7.48114092199825,6.34481602611409,5.11094798009749,3.75490734679937,2.24794168250874,0.139385750668748,0,0,0,21.2383320180206,21.2254079567776,21.2067528708883,21.179657548617,21.1400630716092,21.0818673307123,5.24897039028358,0,0,0,1.7,1.75,1.25,222.1981,433.333333333333,6.25,6.35287683838224,4.032,14.4052278179344
TRAIN-017,6.78144325372048,7.73855809006196,8.83338827234698,10.0857898128875,11.518008335096,13.1544828999776,0.45063536210868,0,0,0,8.85720983646539,7.73316849844114,6.53213111360822,5.23594047279592,3.82384026588761,2.27286374335967,0.0167678842776779,0,0,0,19.9079744791982,19.8768079580402,19.8340628503427,19.7751233944429,19.6934117711776,19.5795222354463,0.582599577895445,0,0,0,1.7,1.75,1.25,228.7421,350,6.03,6.88008538346379,3.756,12.8562810610759
TRAIN-018,4.00103372977385,4.56655555272282,5.21367751785083,5.95462925539367,6.80358382540279,7.77698452260092,6.40362515003791,0,0,0,5.23559223462347,4.57854451126647,3.87501575608322,3.11360738455947,2.28087895071595,1.36116885735428,0.242295083373628,0,0,0,26.069742381332,26.0496878761461,26.0225353324111,25.9855979492744,25.9350916013098,25.8656498356971,18.5541172804463,0,0,0,1.7,1.75,1.25,202.9791,316.666666666667,6.72,5.1228826543438,2.795,10.0798911838042
TRAIN-019,5.04218993969106,5.5528652946982,6.11663894650745,6.73937058731031,7.42766003606633,8.18897156411326,9.03179162360012,0.498291739775882,0,0,4.57776940622994,4.05852228182749,3.51387718967078,2.94013070473387,2.33330875876736,1.68922579878628,1.00358699765947,0.0136076442459066,0,0,25.5799234848096,25.5234338897876,25.4538488654741,25.3679647959689,25.2617336546969,25.1300170830042,24.9662588204538,1.23810216378723,0,0,1.7,1.75,1.25,237.9251,350,7.05,5.86901278462426,3.325,11.0565307337503
TRAIN-020,5.74744231648237,6.33955833997795,6.99520131706698,7.72197169098028,8.5286594638528,9.42554513935112,8.4441105076359,0,0,0,3.82360090088032,3.29219355599528,2.73614015905496,2.15271359310985,1.53931667948595,0.893683591370594,0.173483205940127,0,0,0,25.5570784680082,25.4477991495796,25.3129576405575,25.146192059952,24.9393957790611,24.6821626371057,19.7324212405783,0,0,0,1.7,1.75,1.25,222.3058,350,6.81,5.96546508383404,3.443,9.8659365294185
TRAIN-021,4.79488928257013,5.27271071773529,5.79936421495045,6.38013898213635,7.02097958044719,7.72859419898508,8.51059159260975,1.87513182246433,0,0,4.21026001435066,3.73049094947704,3.22767875679049,2.69858611005452,2.13976431260192,1.54761178448914,0.918470865816034,0.0497558935520493,0,0,26.1725354457029,26.1164873229853,26.0477477027481,25.9632920330257,25.8593211228751,25.7310422720019,25.5723798978997,5.07511772772395,0,0,1.7,1.75,1.25,235.9037,383.333333333333,7.2,5.39994355824855,3.028,11.2482595475901
TRAIN-022,5.10423773945985,5.87406549955121,6.76070748038118,7.78149600521143,8.95580965305894,9.17133464556575,0,0,0,0,5.13725048102691,4.32120916482363,3.44369645324862,2.49163786543851,1.45109210382496,0.274397614791414,0,0,0,0,25.0042303460657,24.9440744007469,24.8622462850369,24.7505357872221,24.5974510149105,21.7043021376956,0,0,0,0,1.7,1.75,1.25,210.4372,466.666666666667,5.89,4.57109043122464,2.947,8.01231484693904
TRAIN-023,5.38525246868875,5.96189724505717,6.60200941966319,7.31306038444641,8.10356220471074,8.98327910645112,0.498175764711534,0,0,0,3.91923579925611,3.38051201848776,2.81508475746459,2.2196454928768,1.5909487067232,0.926030282050489,0.0111268419172288,0,0,0,25.8370061177994,25.7456598494986,25.6320704330843,25.4905228117928,25.3137119908804,25.0922464757041,1.24069842812065,0,0,0,1.7,1.75,1.25,244.1074,433.333333333333,6.05,5.12645700621105,2.998,8.87820385933389
TRAIN-024,4.29748062937221,4.90289257749566,5.59490993884858,6.38609890453661,7.29076715921411,8.32509247472824,1.52114551195284,0,0,0,5.60648427834802,4.90059039160029,4.14508641567058,3.32802457405409,2.43547297936953,1.45147071442987,0.0573118988836596,0,0,0,25.4252812588196,25.4058407736298,25.3795145670293,25.3437021297833,25.2947527289216,25.2275162744714,4.02155151902684,0,0,0,1.7,1.75,1.25,200.3751,433.333333333333,6.16,5.1953679431426,2.606,8.97851213124144
TRAIN-025,3.08925492698007,3.46004439664703,3.87792254797105,4.34991903865519,4.88456546463629,5.49241651250881,0,0,0,0,1.86398313198045,1.55066198482584,1.22016904049865,0.870312613727971,0.498970483197582,0.104258663118773,0,0,0,0,30.1012048704648,30.0194852207408,29.9160179902503,29.7846612456528,29.6173423948154,29.4033324194525,0,0,0,0,1.7,1.75,1.25,205.621,466.666666666667,6,2.82373594329416,3.904,4.36284720644248
TRAIN-026,3.32140385834926,3.64923461540527,4.01113666052215,4.41120580835866,4.85422060914002,5.34582296037245,3.53566174986163,0,0,0,1.99531470394214,1.71653053881261,1.42535220003425,1.12046666750817,0.800590321185063,0.46453473532732,0.0667805720864667,0,0,0,29.7415839387741,29.6702536800364,29.5834661332869,29.4776832056909,29.3484754625797,29.190259390276,17.3975625632382,0,0,0,1.7,1.75,1.25,206.6197,466.666666666667,6.6,2.55758535387981,1.437,3.60674075615352
TRAIN-027,3.30388837902122,3.62213354714884,3.97243618770849,4.35845050087423,4.78438455274168,5.25512985745026,5.77643606926966,3.87664247291972,0,0,2.64963670281566,2.34671745764054,2.02958569456334,1.69628035837361,1.34467428931283,0.972479453535616,0.577259606351437,0.0954364839556915,0,0,29.1467789597392,29.0984937726938,29.0399236379644,28.9687589778417,28.8821242686953,28.7764189259858,28.6471038749286,17.3779302240609,0,0,1.7,1.75,1.25,219.0161,350,7.61,4.02392331219139,1.973,6.30060655730325
TRAIN-028,3.01538302086859,3.32435327198694,3.66594454471031,4.04389125069908,4.46245051053076,4.92650854191279,5.44172040443107,2.82690788282084,0,0,2.78992931572343,2.47695433071603,2.14805316072787,1.80073951204682,1.43227006956653,1.03964192863535,0.619599469176606,0.079267893820059,0,0,29.3137339740249,29.2789185618781,29.2361622929471,29.1835695903866,29.1187590845698,29.0387249013346,28.9396518528283,13.5438328600479,0,0,1.7,1.75,1.25,202.9515,350,7.47,3.42098907203735,1.674,6.34264558714804
TRAIN-029,2.8864537867704,3.22561846002667,3.60570594394463,4.03202276210382,4.51070304687157,5.04889483464695,0.339300757758506,0,0,0,2.54080023028334,2.20401390309267,1.84747103180946,1.46780440619176,1.06131900204347,0.624027249083455,0.00910331361764057,0,0,0,29.676280421386,29.6351212689098,29.5831607237137,29.517439165444,29.4341286640583,29.3282498802381,1.75159687138586,0,0,0,1.7,1.75,1.25,188.9061,383.333333333333,6.06,2.34241198112558,1.077,4.36192327172061
TRAIN-030,2.34647605572502,2.61318789671411,2.91075562045159,3.24290797000902,3.61387562730398,4.02847709318,4.49222630291224,1.10252344986396,0,0,2.73528984417123,2.43893846779899,2.12560382799557,1.79202941077264,1.43449390615533,1.04876707832564,0.630068838482492,0.0380678457213658,0,0,30.0585123944392,30.0430174892765,30.0235278904228,29.9989683778914,29.9679562415401,29.9287058494401,29.8789002679226,6.55941371926576,0,0,1.7,1.75,1.25,210.0765,383.333333333333,7.22,3.21014910317268,1.319,6.24116178947238
TRAIN-031,2.04037947689257,2.33718624130301,2.67772361754983,3.06860993253637,3.51752163193346,4.03338152675376,3.14607960396933,0,0,0,2.85592777709427,2.50312729923303,2.12416763833062,1.71219947052479,1.25898477611781,0.754672929822631,0.127544529125988,0,0,0,30.2730360089525,30.2673399209263,30.2595736223744,30.2489370007411,30.2342984865969,30.214047414574,20.5263954565895,0,0,0,1.7,1.75,1.25,215.8313,433.333333333333,6.68,2.36032742332702,1.127,4.22980060649412
TRAIN-032,1.90631606756824,2.19212383140284,2.52132039227686,2.90066926245409,3.33804826201371,3.84265506613503,0.309768190623758,0,0,0,2.84924588879818,2.50091892290467,2.12612731548577,1.71754307664651,1.26623892069751,0.761388178892287,0.0132948484419182,0,0,0,30.4221046641055,30.4201757032607,30.4173630720918,30.4132416001995,30.4071727557953,30.3981934331876,2.12693911461193,0,0,0,1.7,1.75,1.25,231.5865,433.333333333333,6.07,1.98300638675897,0.956,3.65138766626164
TRAIN-033,21.5689643576931,22.4640872461415,23.3770453399851,24.3046066460177,25.2428629459841,26.1871792969968,27.1321583718166,28.0716265497702,11.5994597545941,0,6.96854111435216,6.11723213681051,5.26582702956611,4.41728543097272,3.57515088850747,2.74359770007858,1.92746589126317,1.13227846078042,0.145693743461911,0,6.5956125186842,6.51074902099187,6.4173350788644,6.3146561316757,6.20198348391674,6.07858776150877,5.94375594266471,5.79681206171046,2.25485655275247,0,2.47,0.95,1.55,61.5135,300,8.4,12.725,10,25.68725
TRAIN-034,22.1050113407223,22.9451444050274,23.7977605412816,24.6597176389134,25.5273261554652,26.3963219616531,27.2618526947766,28.1184822968456,20.2721530214016,0,6.30649279190756,5.52232364106228,4.74150251176726,3.96691370056272,3.20191391476906,2.45035760709733,1.71661122314192,1.00555238814907,0.225784911970135,0,6.69594769807863,6.60659373426505,6.50899982678007,6.40256224568007,6.28667605916161,6.16074722347993,6.02420719017041,5.87652995404944,4.00207586841253,0,2.47,0.95,1.55,54.7949,300,8.7,13.55,11.1,25.5875
TRAIN-035,22.9840971942922,23.7008881887083,24.4228790708734,25.1476764780614,25.8725897212494,26.5946274852149,27.3105018080459,28.0166409201931,11.483684984917,0,4.84192938964454,4.21975322438955,3.60564294780052,3.00191364250067,2.41114126887615,1.83616564048061,1.28008724240692,0.746256588186908,0.0953019529520611,0,7.23595524260154,7.12179608855583,6.99894933870148,6.8669176163245,6.72521051707456,6.57335266676905,6.41089282691968,6.23741388597158,2.4210173871124,0,2.47,0.95,1.55,59.025,300,8.4,13.425,10.94,26.170375
TRAIN-036,19.0581747063619,20.2543598784453,21.5038426847884,22.8027291646872,24.1451364666855,25.5228067823699,26.9247356620692,28.3368649302699,0,0,9.25158179342456,8.04299950289903,6.81305307537929,5.5650897261386,4.30413865767213,3.03726603237294,1.77392768062108,0.526277813597965,0,0,6.94358861606609,6.87054366525928,6.78626740961601,6.68917737105312,6.57755261284997,6.44956143614692,6.30330914366932,6.13691053930474,0,0,2.47,0.95,1.55,64.9586,300,8,12.99,10.67,22.827875
TRAIN-037,21.4317655455487,22.4311863057366,23.4519997241441,24.4893911605506,25.5374506128464,26.5890936526937,27.6360182733748,28.6687139557744,0,0,6.71380215147488,5.7735569225008,4.83460377381682,3.90139913167173,2.97935026388164,2.07488904228742,1.1955163141971,0.349802946401477,0,0,6.97869580841931,6.87638270560924,6.76247295403,6.63589335288245,6.4955549788586,6.34038131586481,6.16934405679568,5.98150644043249,0,0,2.47,0.95,1.55,58.6631,300,8,12.735,10.28,24.19425
TRAIN-038,21.0958051647532,21.991674720162,22.9072200563561,23.8394012247882,24.7844971344211,25.7380473994249,26.6948073712209,27.6487234207897,2.85929364965562,0,6.99288847783081,6.14370072547378,5.29329047146698,4.44450144203647,3.60076981725165,2.76617767590004,1.94549588053934,1.14421038121267,0.0368525049261645,0,7.04746741943922,6.95889193990207,6.86120042496657,6.75360040475865,6.6352772632654,6.50540789571936,6.36317837056712,6.20780581173289,0.603856440878703,0,2.47,0.95,1.55,63.633,300,8.1,12.82,10.34,24.0885
TRAIN-039,20.6238643737449,21.6859135140451,22.7785388781526,23.8970674102314,25.0354828605708,26.1862784763059,27.3403453805371,11.394768347188,0,0,7.42323995284743,6.40582736105932,5.38365685723989,4.36108633971353,3.3436433306078,2.33816148555722,1.35288894458279,0.159019118534662,0,0,7.10851041817594,7.01033265233806,6.89985362642632,6.77575227071577,6.63665421501153,6.48116247862162,6.3078995522504,2.44622464636219,0,0,2.47,0.95,1.55,66.8432,300,7.4,12.445,10.26,23.326625
TRAIN-040,21.2632513702254,22.1517763773255,23.0587591905345,23.9811044479036,24.9150516655388,25.8561224528504,26.7990813749682,27.7379172123419,14.3329260855893,0,6.90356617566994,6.0620923476917,5.2201393600151,4.38058138300678,3.54686950079477,2.72308029149477,1.91395343020339,1.12491256425351,0.181031490477949,0,6.96519707763805,6.87746566703652,6.78085000736929,6.67459800137199,6.55794007499892,6.43010271504313,6.29032575181533,6.13788353514286,2.98605492934911,0,2.47,0.95,1.55,60.8064,300,8.5,13.41,10.73,23.785875
TRAIN-041,21.7774725824852,22.7929272407931,23.8293631781088,24.8816729336664,25.9436058744389,27.0076911368252,28.0652005869626,29.106169166203,0,0,6.87122921917178,5.90788313672869,4.94602484712782,3.99029290385715,3.04631222673343,2.12076724585769,1.2214426585019,0.357216988796886,0,0,6.47990023526141,6.38314169209164,6.27539156829806,6.15563859759182,6.02286080270551,5.87605351314528,5.71426478448966,5.53663795558042,0,0,2.47,0.95,1.55,59.4142,300,8,12.55,9.99,25.066
TRAIN-042,21.5174530623306,22.4027830965664,23.3054459008382,24.2222682110993,25.1494222024239,26.0823776058359,27.0158681056842,27.9438785459598,14.4298300676768,0,6.85389891801316,6.01535473840743,5.1770511112468,4.34191037969816,3.51342106082001,2.69568212352767,1.89343576996352,1.11208316789506,0.178838486434783,0,6.75770553354582,6.67109263398656,6.57583548936264,6.47122011222863,6.35651910201778,6.23100499867689,6.09396712672065,5.9447320156042,2.89134359766465,0,2.47,0.95,1.55,60.1823,300,8.5,13.055,10.6,23.9615
TRAIN-043,22.0642590268396,23.0471380744387,24.0474433497271,25.0601801768824,26.079335167974,27.0978224367212,28.1074668122175,29.0990379732789,0,0,6.52250934775132,5.59982754368395,4.68098007651667,3.77052207844136,2.87388824640135,1.99744434351914,1.14850841262734,0.335329838781145,0,0,6.52821530302747,6.42794402255991,6.31679312183435,6.19382663265999,6.05810785507145,5.90872560688925,5.74482658931946,5.56565343516681,0,0,2.47,0.95,1.55,57.36,300,8,13.205,10.56,26.085
TRAIN-044,21.382600745965,22.2531819124367,23.1405358742471,24.0415939885326,24.9526637605741,25.8693839396987,26.7866929489681,27.698816657713,2.8599282111847,0,6.68574476239458,5.86647431958215,5.04781423232785,4.23261899278021,3.42428435966325,2.62678862735582,1.84472304278135,1.08330625030453,0.0348377089114557,0,7.05509818462749,6.96565938382169,6.86740196744705,6.75960752770148,6.64154469573564,6.51248235617602,6.37170625873209,6.21853911482797,0.605236398734673,0,2.47,0.95,1.55,58.1103,300,8.1,13,10.45,26.771
TRAIN-045,21.8000495937442,22.6615749169532,23.5377854958692,24.4254988011487,25.3209319781695,26.2196654893364,27.1166208852916,28.0060582583815,8.66447979289241,0,6.57183640800683,5.76099526650871,4.95205079252432,4.14792007010564,3.35203820986647,2.56839209323088,1.8015426166328,1.05663071244932,0.101808619624729,0,6.74581953548362,6.65868024070397,6.56319165532198,6.45870650923948,6.34457160059287,6.22014057020843,6.08478963241651,5.93793625046716,1.7337181471459,0,2.47,0.95,1.55,55.4311,300,8.3,13.41,11.09,25.551875
TRAIN-046,21.3138055122377,22.2145615436898,23.1343878734552,24.070102197869,25.0178266525641,25.9729313875308,26.9299925891777,27.8827722468802,23.0593822751919,0,7.05666990417488,6.19820118839127,5.33878938231931,4.4813578175357,3.62943092465298,2.78718634331188,1.95949553037701,1.15194667024617,0.296674292258919,0,6.76713331479879,6.68248300129906,6.58915638852466,6.48640926163567,6.37347970441083,6.24960180127289,6.1140231878968,5.96602662509624,4.64396435095879,0,2.47,0.95,1.55,60.6997,300,8.8,13.82,11.38,25.71975
TRAIN-047,21.8489214590208,22.701328425744,23.567834260899,24.4453206752886,25.3300935247338,26.2178493378693,27.1036553604192,27.9819482746257,5.76931141640487,0,6.44973250309724,5.65210697500875,4.85683482808207,4.06679615730748,3.28536932821277,2.51646197424945,1.76453092372308,1.03458667071669,0.0664355386440085,0,6.81459804780296,6.72470394884468,6.62630448560288,6.5187496527601,6.40138387022183,6.27355853205545,6.13464738922231,5.98406474470963,1.16425723792443,0,2.47,0.95,1.55,56.9946,300,8.2,13.02,10.79,22.634375
TRAIN-048,21.505169538395,22.3959494835551,23.3045855888135,24.2279108729208,25.1620943872259,26.1025911447194,27.0441063078031,27.9805803380455,5.78104050741291,0,6.9099425264145,6.06573591812443,5.22148365756865,4.38010984453761,3.54511360342689,2.72061539982476,1.91139190892723,1.12289373415841,0.0722479237619468,0,6.71608539050225,6.62905007855874,6.5332642282584,6.42799605224493,6.31249837719622,6.1860220516746,6.0478329445017,5.897232634392,1.14671652198375,0,2.47,0.95,1.55,62.9527,300,8.2,13.17,10.57,24.55125
TRAIN-049,21.0163957941548,21.9439813432112,22.8937233211551,23.8624500043427,24.8462242938779,25.8402712274562,26.8389198439825,27.8355680805589,14.4113403711965,0,7.40777592543255,6.51509220082005,5.61938470298009,4.72355727521153,3.83117437028103,2.94652791499764,2.07469305126559,1.22156538512328,0.196935572099159,0,6.72874737105633,6.64696072888245,6.55641468819928,6.45630927809973,6.34581835183938,6.22410367787896,6.09033352861137,5.94370608067397,2.89173880724367,0,2.47,0.95,1.55,63.5278,300,8.5,13.62,11.16,27.071125
TRAIN-050,21.1305414447024,22.0451656356862,22.9805889238898,23.9336551078249,24.9004780919936,25.876376930224,26.8558251030056,27.8324219989318,20.1592269968537,0,7.23355417852089,6.35820860783193,5.48079315870639,4.60421245670138,3.73200233357054,2.868389741714,2.01834147468184,1.18759491692675,0.267864114220919,0,6.78127094682507,6.69734161369436,6.6045991760499,6.50225988840074,6.38951700841286,6.26555471678258,6.12956625665043,5.98077653592504,4.07292839012465,0,2.47,0.95,1.55,63.2179,300,8.7,14.5,12.28,27.94125
TRAIN-051,21.2982032565518,22.2098845617773,23.1415329945555,24.0899407043117,25.0511795357945,26.020540061847,26.9924853245786,27.9606270504496,14.4588665596048,0,7.18658901401846,6.3145725189394,5.44103573424598,4.5689182619414,3.70178179880688,2.84386651111878,2.00013580342969,1.1763028839923,0.189415804840998,0,6.65792146483002,6.57437382426639,6.48214555966957,6.38047763999206,6.26859099844497,6.14570035186781,6.01103204715549,5.86384612730318,2.85173125147717,0,2.47,0.95,1.55,62.972,300,8.5,13.37,10.72,27.507625
